,c_0,c_18,c_37,c_45
variant_13541,137.0,9.0,3.0,18.0
variant_13542,57.0,8.0,16.0,22.0
variant_13543,143.0,10.0,0.0,2.0
variant_13544,13.0,13.0,0.0,1.0
variant_13545,344.0,28.0,28.0,12.0
variant_13546,211.0,26.0,28.0,0.0
variant_13547,218.0,8.0,11.0,14.0
variant_13548,108.0,9.0,0.0,3.0
variant_13549,391.0,61.0,63.0,38.0
variant_13550,515.0,45.0,23.0,3.0
variant_13551,26.0,0.0,0.0,0.0
variant_13552,108.0,5.0,7.0,0.0
variant_13553,154.0,21.0,2.0,3.0
variant_13554,656.0,158.0,146.0,77.0
variant_13555,505.0,32.0,0.0,4.0
variant_13556,6457.0,992.0,1166.0,970.0
variant_13557,154.0,5.0,0.0,1.0
variant_13558,68.0,1.0,0.0,0.0
variant_13559,587.0,114.0,199.0,175.0
variant_13560,294.0,24.0,14.0,23.0
variant_13561,1689.0,211.0,255.0,225.0
variant_13562,342.0,27.0,13.0,17.0
variant_13563,294.0,14.0,7.0,3.0
variant_13564,53.0,0.0,13.0,0.0
variant_13565,155.0,6.0,5.0,0.0
variant_13566,388.0,71.0,126.0,136.0
variant_13567,108.0,20.0,31.0,31.0
variant_13568,6522.0,905.0,922.0,924.0
variant_13569,2196.0,335.0,430.0,368.0
variant_13570,438.0,29.0,21.0,5.0
variant_13571,231.0,0.0,0.0,4.0
variant_13572,60.0,11.0,0.0,0.0
variant_13573,337.0,32.0,4.0,4.0
variant_13574,10078.0,1413.0,2172.0,1660.0
variant_13575,8959.0,1240.0,1351.0,1288.0
variant_13576,223.0,19.0,13.0,2.0
variant_13577,1715.0,485.0,693.0,553.0
variant_13578,168.0,27.0,0.0,2.0
variant_13579,3640.0,611.0,745.0,596.0
variant_13580,5174.0,1040.0,1115.0,915.0
variant_13581,406.0,14.0,5.0,2.0
variant_13582,598.0,54.0,46.0,56.0
variant_13583,12990.0,1940.0,2213.0,1879.0
variant_13584,477.0,102.0,57.0,77.0
variant_13585,40.0,43.0,8.0,12.0
variant_13586,241.0,38.0,8.0,1.0
variant_13587,290.0,34.0,59.0,106.0
variant_13588,4244.0,443.0,455.0,386.0
variant_13589,3047.0,462.0,584.0,546.0
variant_13590,369.0,85.0,107.0,72.0
variant_13591,373.0,37.0,39.0,16.0
variant_13592,200.0,38.0,4.0,7.0
variant_13593,379.0,44.0,20.0,8.0
variant_13594,115.0,9.0,11.0,1.0
variant_13595,893.0,83.0,131.0,123.0
variant_13596,76.0,25.0,11.0,16.0
variant_13597,494.0,23.0,38.0,30.0
variant_13598,354.0,61.0,147.0,60.0
variant_13599,89.0,8.0,0.0,4.0
variant_13600,664.0,176.0,248.0,233.0
variant_13601,233.0,14.0,8.0,0.0
variant_13602,576.0,206.0,218.0,114.0
variant_13603,588.0,98.0,95.0,30.0
variant_13604,760.0,104.0,70.0,69.0
variant_13605,815.0,67.0,18.0,18.0
variant_13606,58.0,2.0,5.0,2.0
variant_13607,413.0,150.0,322.0,250.0
variant_13608,122.0,13.0,3.0,0.0
variant_13609,184.0,15.0,53.0,31.0
variant_13610,5178.0,895.0,948.0,905.0
variant_13611,1252.0,251.0,271.0,267.0
variant_13612,534.0,126.0,241.0,456.0
variant_13613,2437.0,552.0,686.0,515.0
variant_13614,298.0,22.0,7.0,4.0
variant_13615,4679.0,548.0,591.0,481.0
variant_13616,990.0,83.0,53.0,53.0
variant_13617,2370.0,382.0,393.0,390.0
variant_13618,1767.0,224.0,129.0,201.0
variant_13619,2834.0,553.0,536.0,445.0
variant_13620,62.0,0.0,0.0,0.0
variant_13621,3847.0,482.0,523.0,622.0
variant_13622,13.0,0.0,0.0,0.0
variant_13623,540.0,73.0,103.0,96.0
variant_13624,343.0,80.0,85.0,83.0
variant_13625,2864.0,305.0,246.0,237.0
variant_13626,587.0,80.0,23.0,14.0
variant_13627,522.0,78.0,9.0,53.0
variant_13628,598.0,28.0,14.0,4.0
variant_13629,41.0,5.0,0.0,0.0
variant_13630,419.0,23.0,17.0,10.0
variant_13631,173.0,11.0,54.0,33.0
variant_13632,3599.0,511.0,579.0,356.0
variant_13633,361.0,43.0,7.0,10.0
variant_13634,44.0,37.0,0.0,2.0
variant_13635,434.0,54.0,17.0,2.0
variant_13636,4466.0,580.0,577.0,690.0
variant_13637,2701.0,360.0,327.0,262.0
variant_13638,1075.0,234.0,298.0,192.0
variant_13639,372.0,29.0,2.0,10.0
variant_13640,1875.0,283.0,570.0,383.0
variant_13641,1160.0,68.0,110.0,139.0
variant_13642,4479.0,668.0,898.0,693.0
variant_13643,127.0,1.0,0.0,1.0
variant_13644,2238.0,377.0,412.0,322.0
variant_13645,2193.0,437.0,426.0,268.0
variant_13646,1259.0,237.0,194.0,206.0
variant_13647,3935.0,645.0,680.0,692.0
variant_13648,1847.0,215.0,178.0,123.0
variant_13649,902.0,182.0,393.0,258.0
variant_13650,2109.0,376.0,567.0,365.0
variant_13651,1029.0,143.0,215.0,158.0
variant_13652,347.0,17.0,2.0,14.0
variant_13653,3515.0,611.0,747.0,623.0
variant_13654,1318.0,346.0,575.0,255.0
variant_13655,347.0,46.0,65.0,64.0
variant_13656,4905.0,850.0,1030.0,738.0
variant_13657,138.0,7.0,1.0,3.0
variant_13658,232.0,37.0,13.0,2.0
variant_13659,7004.0,1085.0,1362.0,1149.0
variant_13660,494.0,92.0,65.0,17.0
variant_13661,5842.0,865.0,1216.0,821.0
variant_13662,3119.0,440.0,539.0,448.0
variant_13663,76.0,11.0,1.0,5.0
variant_13664,12.0,1.0,0.0,0.0
variant_13665,700.0,65.0,94.0,110.0
variant_13666,1199.0,149.0,144.0,118.0
variant_13667,970.0,81.0,73.0,75.0
variant_13668,3659.0,570.0,714.0,733.0
variant_13669,126.0,14.0,0.0,4.0
variant_13670,274.0,81.0,106.0,78.0
variant_13671,8893.0,1811.0,2196.0,2016.0
variant_13672,441.0,61.0,70.0,12.0
variant_13673,420.0,61.0,108.0,83.0
variant_13674,471.0,97.0,121.0,171.0
variant_13675,10.0,0.0,0.0,0.0
variant_13676,329.0,30.0,31.0,10.0
variant_13677,4377.0,553.0,580.0,575.0
variant_13678,6448.0,960.0,1034.0,1063.0
variant_13679,3181.0,413.0,483.0,349.0
variant_13680,559.0,30.0,24.0,7.0
variant_13681,4551.0,802.0,731.0,539.0
variant_13682,220.0,25.0,76.0,35.0
variant_13683,361.0,160.0,245.0,341.0
variant_13684,24.0,0.0,0.0,0.0
variant_13685,223.0,22.0,6.0,13.0
variant_13686,6673.0,1204.0,1644.0,1645.0
variant_13687,8659.0,1553.0,2194.0,2065.0
variant_13688,3800.0,732.0,1199.0,1012.0
variant_13689,1328.0,462.0,858.0,869.0
variant_13690,185.0,47.0,56.0,17.0
variant_13691,803.0,158.0,382.0,399.0
variant_13692,184.0,33.0,21.0,11.0
variant_13693,308.0,28.0,10.0,11.0
variant_13694,401.0,54.0,76.0,102.0
variant_13695,503.0,173.0,181.0,198.0
variant_13696,358.0,74.0,29.0,40.0
variant_13697,6.0,0.0,13.0,9.0
variant_13698,220.0,71.0,99.0,37.0
variant_13699,39.0,28.0,43.0,39.0
variant_13700,116.0,36.0,34.0,30.0
variant_13701,1344.0,306.0,461.0,469.0
variant_13702,150.0,20.0,27.0,24.0
variant_13703,255.0,56.0,25.0,36.0
variant_13704,377.0,47.0,60.0,41.0
variant_13705,360.0,113.0,168.0,168.0
variant_13706,214.0,19.0,73.0,62.0
variant_13707,5009.0,715.0,837.0,765.0
variant_13708,126.0,19.0,9.0,0.0
variant_13709,5645.0,894.0,942.0,864.0
variant_13710,70.0,16.0,62.0,19.0
variant_13711,661.0,119.0,281.0,122.0
variant_13712,5633.0,885.0,1049.0,918.0
variant_13713,597.0,60.0,24.0,16.0
variant_13714,430.0,31.0,1.0,19.0
variant_13715,270.0,74.0,20.0,30.0
variant_13716,4742.0,674.0,765.0,732.0
variant_13717,2320.0,277.0,249.0,225.0
variant_13718,634.0,112.0,97.0,94.0
variant_13719,2376.0,329.0,283.0,281.0
variant_13720,2737.0,329.0,313.0,336.0
variant_13721,265.0,66.0,25.0,7.0
variant_13722,7495.0,1226.0,1337.0,1045.0
variant_13723,4972.0,713.0,829.0,644.0
variant_13724,3113.0,641.0,638.0,532.0
variant_13725,413.0,25.0,27.0,2.0
variant_13726,9241.0,1742.0,1989.0,1542.0
variant_13727,101.0,20.0,139.0,99.0
variant_13728,242.0,7.0,1.0,4.0
variant_13729,341.0,21.0,10.0,16.0
variant_13730,251.0,78.0,180.0,59.0
variant_13731,9629.0,1351.0,1831.0,1477.0
variant_13732,4063.0,710.0,953.0,793.0
variant_13733,681.0,160.0,167.0,152.0
variant_13734,6906.0,1259.0,1400.0,967.0
variant_13735,215.0,26.0,12.0,0.0
variant_13736,458.0,85.0,140.0,114.0
variant_13737,29.0,0.0,2.0,0.0
variant_13738,10952.0,1428.0,1576.0,1513.0
variant_13739,195.0,23.0,64.0,82.0
variant_13740,255.0,28.0,82.0,52.0
variant_13741,68.0,16.0,0.0,0.0
variant_13742,127.0,24.0,29.0,10.0
variant_13743,351.0,17.0,0.0,7.0
variant_13744,595.0,80.0,55.0,20.0
variant_13745,1748.0,253.0,144.0,137.0
variant_13746,184.0,19.0,34.0,3.0
variant_13747,418.0,65.0,29.0,17.0
variant_13748,326.0,40.0,0.0,4.0
variant_13749,171.0,31.0,24.0,4.0
variant_13750,361.0,90.0,203.0,145.0
variant_13751,3074.0,569.0,661.0,653.0
variant_13752,1083.0,233.0,335.0,291.0
variant_13753,6520.0,876.0,1251.0,801.0
variant_13754,3076.0,443.0,410.0,401.0
variant_13755,3411.0,659.0,700.0,531.0
variant_13756,908.0,166.0,266.0,256.0
variant_13757,3264.0,482.0,687.0,516.0
variant_13758,472.0,32.0,19.0,6.0
variant_13759,35.0,2.0,10.0,3.0
variant_13760,88.0,24.0,27.0,41.0
variant_13761,486.0,25.0,8.0,18.0
variant_13762,3426.0,574.0,489.0,390.0
variant_13763,590.0,116.0,99.0,103.0
variant_13764,436.0,71.0,225.0,202.0
variant_13765,323.0,86.0,152.0,59.0
variant_13766,2757.0,450.0,501.0,439.0
variant_13767,3133.0,465.0,673.0,544.0
variant_13768,7319.0,1593.0,2100.0,1821.0
variant_13769,1291.0,156.0,155.0,135.0
variant_13770,226.0,59.0,114.0,50.0
variant_13771,152.0,60.0,65.0,104.0
variant_13772,5015.0,992.0,1492.0,1196.0
variant_13773,4496.0,543.0,524.0,463.0
variant_13774,323.0,20.0,36.0,0.0
variant_13775,154.0,7.0,4.0,4.0
variant_13776,1098.0,217.0,274.0,250.0
variant_13777,647.0,124.0,90.0,110.0
variant_13778,3306.0,532.0,567.0,442.0
variant_13779,378.0,117.0,127.0,142.0
variant_13780,3655.0,540.0,594.0,568.0
variant_13781,208.0,6.0,2.0,7.0
variant_13782,1367.0,328.0,401.0,520.0
variant_13783,6372.0,1294.0,1675.0,1307.0
variant_13784,3655.0,613.0,696.0,548.0
variant_13785,4189.0,560.0,720.0,397.0
variant_13786,1084.0,82.0,83.0,34.0
variant_13787,2042.0,335.0,571.0,391.0
variant_13788,0.0,7.0,5.0,0.0
variant_13789,3252.0,497.0,749.0,530.0
variant_13790,3803.0,487.0,573.0,368.0
variant_13791,3199.0,720.0,897.0,646.0
variant_13792,4892.0,893.0,1082.0,874.0
variant_13793,342.0,56.0,176.0,130.0
variant_13794,6622.0,931.0,1060.0,830.0
variant_13795,629.0,106.0,31.0,37.0
variant_13796,285.0,36.0,5.0,3.0
variant_13797,194.0,10.0,27.0,2.0
variant_13798,315.0,17.0,7.0,6.0
variant_13799,384.0,58.0,26.0,11.0
variant_13800,259.0,68.0,169.0,61.0
variant_13801,145.0,47.0,36.0,21.0
variant_13802,472.0,64.0,49.0,60.0
variant_13803,4594.0,673.0,761.0,568.0
variant_13804,89.0,7.0,0.0,1.0
variant_13805,209.0,18.0,16.0,7.0
variant_13806,419.0,48.0,11.0,21.0
variant_13807,4611.0,1081.0,1568.0,1373.0
variant_13808,4429.0,532.0,636.0,512.0
variant_13809,3281.0,480.0,637.0,439.0
variant_13810,139.0,48.0,35.0,27.0
variant_13811,3122.0,471.0,652.0,467.0
variant_13812,693.0,61.0,86.0,109.0
variant_13813,90.0,14.0,9.0,5.0
variant_13814,694.0,144.0,101.0,82.0
variant_13815,868.0,125.0,192.0,104.0
variant_13816,600.0,160.0,236.0,252.0
variant_13817,248.0,10.0,12.0,0.0
variant_13818,84.0,9.0,15.0,8.0
variant_13819,528.0,36.0,57.0,45.0
variant_13820,126.0,49.0,42.0,35.0
variant_13821,165.0,4.0,0.0,0.0
variant_13822,6163.0,1141.0,1566.0,1079.0
variant_13823,8145.0,1376.0,1648.0,1287.0
variant_13824,70.0,11.0,0.0,2.0
variant_13825,6336.0,1085.0,1846.0,1434.0
variant_13826,580.0,130.0,246.0,153.0
variant_13827,5928.0,1262.0,1484.0,1299.0
variant_13828,364.0,40.0,73.0,35.0
variant_13829,1420.0,205.0,293.0,292.0
variant_13830,1041.0,199.0,348.0,269.0
variant_13831,442.0,95.0,178.0,193.0
variant_13832,784.0,64.0,80.0,30.0
variant_13833,32.0,0.0,0.0,0.0
variant_13834,107.0,8.0,1.0,3.0
variant_13835,10837.0,1813.0,2365.0,1697.0
variant_13836,4618.0,698.0,856.0,753.0
variant_13837,60.0,5.0,19.0,9.0
variant_13838,198.0,4.0,0.0,0.0
variant_13839,8004.0,1051.0,1371.0,1158.0
variant_13840,135.0,13.0,4.0,7.0
variant_13841,4852.0,746.0,917.0,835.0
variant_13842,283.0,47.0,9.0,8.0
variant_13843,450.0,34.0,14.0,9.0
variant_13844,189.0,14.0,1.0,4.0
variant_13845,985.0,166.0,294.0,207.0
variant_13846,531.0,58.0,42.0,4.0
variant_13847,520.0,91.0,115.0,87.0
variant_13848,10443.0,1986.0,3193.0,2869.0
variant_13849,6340.0,1086.0,1834.0,1649.0
variant_13850,663.0,162.0,278.0,343.0
variant_13851,375.0,108.0,138.0,118.0
variant_13852,848.0,124.0,38.0,44.0
variant_13853,364.0,60.0,157.0,209.0
variant_13854,99.0,81.0,264.0,271.0
variant_13855,373.0,79.0,80.0,58.0
variant_13856,6406.0,1048.0,1089.0,862.0
variant_13857,1643.0,224.0,298.0,175.0
variant_13858,1.0,0.0,0.0,0.0
variant_13859,68.0,18.0,0.0,6.0
variant_13860,265.0,75.0,120.0,170.0
variant_13861,3548.0,485.0,565.0,381.0
variant_13862,117.0,2.0,4.0,1.0
variant_13863,2823.0,553.0,655.0,462.0
variant_13864,99.0,7.0,17.0,7.0
variant_13865,155.0,52.0,109.0,118.0
variant_13866,142.0,11.0,11.0,3.0
variant_13867,3696.0,710.0,1462.0,1252.0
variant_13868,10881.0,2105.0,3260.0,2923.0
variant_13869,763.0,125.0,160.0,64.0
variant_13870,45.0,6.0,15.0,11.0
variant_13871,729.0,108.0,272.0,295.0
variant_13872,5828.0,1235.0,2224.0,2121.0
variant_13873,78.0,18.0,0.0,8.0
variant_13874,1362.0,261.0,460.0,398.0
variant_13875,3315.0,538.0,493.0,536.0
variant_13876,263.0,68.0,154.0,99.0
variant_13877,94.0,9.0,2.0,13.0
variant_13878,9639.0,1813.0,2242.0,1935.0
variant_13879,3126.0,374.0,586.0,422.0
variant_13880,181.0,67.0,45.0,78.0
variant_13881,492.0,160.0,240.0,184.0
variant_13882,225.0,3.0,10.0,10.0
variant_13883,197.0,35.0,20.0,11.0
variant_13884,46.0,34.0,36.0,24.0
variant_13885,6570.0,1124.0,1457.0,1252.0
variant_13886,2343.0,426.0,674.0,504.0
variant_13887,2739.0,482.0,517.0,434.0
variant_13888,1595.0,264.0,188.0,165.0
variant_13889,577.0,46.0,11.0,14.0
variant_13890,102.0,11.0,6.0,16.0
variant_13891,1060.0,222.0,182.0,196.0
variant_13892,202.0,14.0,9.0,8.0
variant_13893,40.0,3.0,0.0,0.0
variant_13894,175.0,23.0,5.0,4.0
variant_13895,685.0,108.0,82.0,113.0
variant_13896,720.0,121.0,95.0,116.0
variant_13897,279.0,61.0,56.0,2.0
variant_13898,108.0,21.0,45.0,55.0
variant_13899,520.0,235.0,317.0,261.0
variant_13900,3061.0,510.0,511.0,333.0
variant_13901,583.0,81.0,52.0,32.0
variant_13902,105.0,13.0,14.0,0.0
variant_13903,27.0,5.0,0.0,0.0
variant_13904,4937.0,879.0,895.0,761.0
variant_13905,245.0,7.0,0.0,2.0
variant_13906,4506.0,839.0,970.0,756.0
variant_13907,1329.0,195.0,171.0,137.0
variant_13908,396.0,18.0,23.0,1.0
variant_13909,792.0,159.0,266.0,199.0
variant_13910,92.0,24.0,15.0,16.0
variant_13911,367.0,51.0,48.0,66.0
variant_13912,25.0,0.0,0.0,0.0
variant_13913,4832.0,602.0,704.0,586.0
variant_13914,9774.0,1622.0,2198.0,1720.0
variant_13915,1342.0,183.0,335.0,250.0
variant_13916,597.0,128.0,124.0,142.0
variant_13917,331.0,51.0,10.0,12.0
variant_13918,165.0,48.0,37.0,16.0
variant_13919,283.0,82.0,219.0,166.0
variant_13920,2884.0,604.0,810.0,603.0
variant_13921,471.0,37.0,22.0,8.0
variant_13922,145.0,2.0,1.0,3.0
variant_13923,192.0,10.0,40.0,15.0
variant_13924,483.0,54.0,135.0,86.0
variant_13925,57.0,10.0,31.0,58.0
variant_13926,6964.0,1116.0,1255.0,1400.0
variant_13927,535.0,131.0,175.0,256.0
variant_13928,390.0,62.0,112.0,171.0
variant_13929,3687.0,492.0,425.0,396.0
variant_13930,421.0,54.0,151.0,67.0
variant_13931,369.0,57.0,12.0,20.0
variant_13932,3502.0,526.0,704.0,540.0
variant_13933,556.0,70.0,31.0,52.0
variant_13934,12.0,0.0,0.0,0.0
variant_13935,315.0,60.0,16.0,23.0
variant_13936,315.0,57.0,99.0,71.0
variant_13937,491.0,89.0,109.0,122.0
variant_13938,6928.0,1158.0,1335.0,938.0
variant_13939,100.0,8.0,10.0,6.0
variant_13940,184.0,13.0,6.0,0.0
variant_13941,273.0,30.0,6.0,7.0
variant_13942,1555.0,4.0,0.0,0.0
variant_13943,88.0,21.0,23.0,44.0
variant_13944,249.0,39.0,6.0,5.0
variant_13945,2175.0,241.0,232.0,176.0
variant_13946,14.0,15.0,0.0,0.0
variant_13947,742.0,112.0,38.0,65.0
variant_13948,193.0,34.0,60.0,34.0
variant_13949,1226.0,317.0,487.0,425.0
variant_13950,6782.0,1441.0,1369.0,1260.0
variant_13951,3134.0,650.0,673.0,589.0
variant_13952,10493.0,1474.0,1773.0,1635.0
variant_13953,201.0,26.0,7.0,5.0
variant_13954,572.0,121.0,129.0,91.0
variant_13955,104.0,12.0,0.0,8.0
variant_13956,139.0,1.0,18.0,1.0
variant_13957,1343.0,240.0,352.0,277.0
variant_13958,2135.0,338.0,473.0,386.0
variant_13959,1067.0,169.0,124.0,185.0
variant_13960,618.0,72.0,150.0,132.0
variant_13961,223.0,49.0,54.0,77.0
variant_13962,1523.0,232.0,148.0,201.0
variant_13963,497.0,69.0,57.0,4.0
variant_13964,314.0,52.0,29.0,24.0
variant_13965,1625.0,267.0,363.0,217.0
variant_13966,1180.0,234.0,351.0,312.0
variant_13967,2595.0,435.0,511.0,451.0
variant_13968,1064.0,157.0,116.0,102.0
variant_13969,7508.0,1243.0,1347.0,1014.0
variant_13970,1408.0,159.0,88.0,97.0
variant_13971,463.0,38.0,34.0,37.0
variant_13972,2189.0,347.0,424.0,346.0
variant_13973,1378.0,203.0,262.0,216.0
variant_13974,219.0,19.0,0.0,7.0
variant_13975,625.0,56.0,59.0,33.0
variant_13976,238.0,20.0,6.0,8.0
variant_13977,872.0,205.0,316.0,227.0
variant_13978,429.0,57.0,191.0,135.0
variant_13979,269.0,41.0,43.0,41.0
variant_13980,338.0,13.0,13.0,32.0
variant_13981,659.0,148.0,282.0,289.0
variant_13982,652.0,127.0,215.0,167.0
variant_13983,249.0,64.0,99.0,206.0
variant_13984,848.0,100.0,256.0,171.0
variant_13985,231.0,14.0,9.0,0.0
variant_13986,1585.0,180.0,181.0,242.0
variant_13987,3384.0,577.0,578.0,461.0
variant_13988,279.0,27.0,6.0,14.0
variant_13989,226.0,22.0,242.0,124.0
variant_13990,221.0,43.0,81.0,120.0
variant_13991,3794.0,665.0,1295.0,838.0
variant_13992,117.0,17.0,0.0,0.0
variant_13993,2921.0,683.0,957.0,700.0
variant_13994,386.0,59.0,31.0,10.0
variant_13995,53.0,0.0,36.0,0.0
variant_13996,724.0,79.0,89.0,87.0
variant_13997,38.0,0.0,10.0,0.0
variant_13998,1133.0,128.0,149.0,167.0
variant_13999,768.0,181.0,135.0,100.0
variant_14000,488.0,109.0,102.0,72.0
variant_14001,1641.0,279.0,309.0,169.0
variant_14002,604.0,133.0,227.0,197.0
variant_14003,2711.0,407.0,514.0,539.0
variant_14004,2360.0,378.0,597.0,549.0
variant_14005,4244.0,829.0,1087.0,732.0
variant_14006,177.0,28.0,7.0,1.0
variant_14007,1141.0,285.0,381.0,328.0
variant_14008,1329.0,166.0,139.0,61.0
variant_14009,372.0,42.0,12.0,3.0
variant_14010,1351.0,250.0,417.0,313.0
variant_14011,92.0,9.0,3.0,3.0
variant_14012,83.0,3.0,14.0,4.0
variant_14013,103.0,10.0,0.0,10.0
variant_14014,6514.0,1021.0,1214.0,1057.0
variant_14015,364.0,134.0,168.0,172.0
variant_14016,59.0,0.0,0.0,0.0
variant_14017,0.0,1.0,3.0,3.0
variant_14018,572.0,118.0,106.0,103.0
variant_14019,423.0,160.0,302.0,316.0
variant_14020,4073.0,560.0,630.0,615.0
variant_14021,94.0,29.0,12.0,3.0
variant_14022,2879.0,463.0,474.0,480.0
variant_14023,3025.0,365.0,368.0,290.0
variant_14024,908.0,268.0,642.0,774.0
variant_14025,64.0,6.0,3.0,3.0
variant_14026,37.0,3.0,0.0,0.0
variant_14027,362.0,55.0,173.0,51.0
variant_14028,173.0,22.0,0.0,0.0
variant_14029,601.0,33.0,10.0,4.0
variant_14030,6338.0,1130.0,1158.0,942.0
variant_14031,3637.0,727.0,729.0,463.0
variant_14032,1193.0,240.0,109.0,127.0
variant_14033,555.0,27.0,59.0,32.0
variant_14034,129.0,19.0,0.0,9.0
variant_14035,404.0,25.0,22.0,11.0
variant_14036,315.0,61.0,89.0,121.0
variant_14037,1258.0,144.0,58.0,46.0
variant_14038,266.0,134.0,191.0,139.0
variant_14039,207.0,16.0,4.0,0.0
variant_14040,767.0,107.0,60.0,66.0
variant_14041,589.0,134.0,169.0,221.0
variant_14042,3730.0,730.0,1499.0,1186.0
variant_14043,1641.0,472.0,970.0,900.0
variant_14044,5177.0,679.0,652.0,714.0
variant_14045,5737.0,1148.0,1490.0,1191.0
variant_14046,2679.0,441.0,538.0,478.0
variant_14047,317.0,89.0,93.0,72.0
variant_14048,21.0,33.0,41.0,14.0
variant_14049,493.0,74.0,158.0,83.0
variant_14050,290.0,14.0,0.0,5.0
variant_14051,2387.0,452.0,313.0,358.0
variant_14052,79.0,0.0,0.0,0.0
variant_14053,2453.0,443.0,465.0,414.0
variant_14054,47.0,10.0,12.0,20.0
variant_14055,12650.0,2221.0,3227.0,2552.0
variant_14056,108.0,29.0,95.0,54.0
variant_14057,869.0,108.0,107.0,79.0
variant_14058,140.0,15.0,9.0,0.0
variant_14059,387.0,21.0,16.0,4.0
variant_14060,221.0,44.0,39.0,41.0
variant_14061,226.0,71.0,18.0,53.0
variant_14062,359.0,56.0,27.0,8.0
variant_14063,293.0,47.0,43.0,3.0
variant_14064,79.0,15.0,5.0,0.0
variant_14065,198.0,13.0,8.0,0.0
variant_14066,543.0,139.0,262.0,162.0
variant_14067,137.0,27.0,22.0,10.0
variant_14068,193.0,34.0,60.0,68.0
variant_14069,461.0,33.0,37.0,61.0
variant_14070,774.0,137.0,134.0,114.0
variant_14071,433.0,50.0,119.0,73.0
variant_14072,3839.0,643.0,813.0,443.0
variant_14073,906.0,105.0,56.0,49.0
variant_14074,258.0,21.0,14.0,17.0
variant_14075,2299.0,278.0,343.0,268.0
variant_14076,167.0,34.0,52.0,31.0
variant_14077,5148.0,903.0,976.0,824.0
variant_14078,3370.0,696.0,874.0,796.0
variant_14079,117.0,13.0,18.0,3.0
variant_14080,16.0,6.0,23.0,9.0
variant_14081,1381.0,257.0,190.0,191.0
variant_14082,342.0,34.0,23.0,11.0
variant_14083,484.0,132.0,197.0,178.0
variant_14084,239.0,12.0,10.0,0.0
variant_14085,157.0,19.0,31.0,5.0
variant_14086,114.0,18.0,15.0,18.0
variant_14087,954.0,161.0,261.0,233.0
variant_14088,2198.0,340.0,311.0,251.0
variant_14089,316.0,12.0,2.0,3.0
variant_14090,820.0,102.0,159.0,45.0
variant_14091,671.0,133.0,166.0,131.0
variant_14092,76.0,17.0,0.0,0.0
variant_14093,830.0,158.0,141.0,252.0
variant_14094,168.0,10.0,0.0,2.0
variant_14095,1125.0,123.0,151.0,138.0
variant_14096,369.0,21.0,29.0,51.0
variant_14097,345.0,46.0,18.0,19.0
variant_14098,120.0,31.0,83.0,37.0
variant_14099,324.0,48.0,78.0,37.0
variant_14100,2321.0,487.0,678.0,639.0
variant_14101,1070.0,174.0,223.0,196.0
variant_14102,63.0,33.0,0.0,7.0
variant_14103,192.0,59.0,50.0,48.0
variant_14104,249.0,19.0,7.0,2.0
variant_14105,143.0,12.0,20.0,9.0
variant_14106,2772.0,394.0,448.0,414.0
variant_14107,966.0,74.0,168.0,80.0
variant_14108,1043.0,88.0,17.0,38.0
variant_14109,742.0,108.0,294.0,270.0
variant_14110,1389.0,206.0,264.0,259.0
variant_14111,164.0,23.0,9.0,4.0
variant_14112,1867.0,370.0,355.0,351.0
variant_14113,630.0,144.0,144.0,102.0
variant_14114,164.0,17.0,28.0,0.0
variant_14115,84.0,29.0,38.0,52.0
variant_14116,1756.0,210.0,230.0,159.0
variant_14117,266.0,15.0,85.0,62.0
variant_14118,113.0,34.0,23.0,64.0
variant_14119,1539.0,369.0,546.0,344.0
variant_14120,174.0,23.0,18.0,41.0
variant_14121,151.0,33.0,38.0,29.0
variant_14122,586.0,73.0,123.0,178.0
variant_14123,754.0,121.0,108.0,150.0
variant_14124,1301.0,171.0,281.0,190.0
variant_14125,6.0,0.0,22.0,28.0
variant_14126,38.0,11.0,2.0,7.0
variant_14127,1854.0,192.0,245.0,223.0
variant_14128,34.0,0.0,2.0,2.0
variant_14129,2902.0,558.0,648.0,564.0
variant_14130,759.0,74.0,41.0,19.0
variant_14131,319.0,57.0,59.0,61.0
variant_14132,132.0,7.0,0.0,10.0
variant_14133,506.0,65.0,140.0,115.0
variant_14134,793.0,293.0,520.0,477.0
variant_14135,1314.0,308.0,593.0,362.0
variant_14136,1023.0,183.0,222.0,295.0
variant_14137,178.0,6.0,0.0,0.0
variant_14138,179.0,6.0,18.0,3.0
variant_14139,87.0,14.0,0.0,0.0
variant_14140,114.0,17.0,0.0,0.0
variant_14141,2506.0,459.0,513.0,462.0
variant_14142,428.0,59.0,103.0,80.0
variant_14143,2111.0,372.0,406.0,246.0
variant_14144,627.0,21.0,37.0,14.0
variant_14145,1040.0,172.0,113.0,102.0
variant_14146,177.0,32.0,7.0,0.0
variant_14147,3191.0,623.0,469.0,375.0
variant_14148,300.0,45.0,132.0,92.0
variant_14149,196.0,22.0,3.0,0.0
variant_14150,4480.0,984.0,1853.0,1673.0
variant_14151,1705.0,474.0,971.0,848.0
variant_14152,2746.0,618.0,794.0,674.0
variant_14153,1425.0,150.0,209.0,289.0
variant_14154,781.0,158.0,171.0,243.0
variant_14155,36.0,0.0,9.0,5.0
variant_14156,21.0,7.0,7.0,8.0
variant_14157,156.0,17.0,6.0,1.0
variant_14158,99.0,32.0,8.0,2.0
variant_14159,74.0,34.0,64.0,55.0
